dataset	normalization	model	gene	logFC	logCPM	F	PValue	q_genome	q_junction	approximate_QL_Wald_low	approximate_QL_Wald_high	approximate_QL_SE	count_eligible
all_pairs	TMM	source_adjusted	CLDN1	0.798497121965645	7.23106200870521	7.1712015477292	0.0159636646395037	0.369588494262888	0.191563975674045	0.133221768607062	1.46377247532423	0.315142965313011	True
all_pairs	TMM	source_adjusted	CLDN10	0.953572089378914	3.70838676050465	1.63840216754428	0.216316356672166	0.745259327639889	0.519159256013197	-0.569141846498151	2.47628602525598	0.726340798686378	True
all_pairs	TMM	source_adjusted	CLDN11	2.80275298264736	3.27253242109996	18.9251565284437	0.0004321732588433	0.134691305963378	0.0103721582122397	1.46454493835357	4.14096102694115	0.634437193315045	True
all_pairs	TMM	source_adjusted	CLDN12	-0.156746892515757	6.40710627134585	0.200394994624283	0.660067304207006	0.935835431004215	0.919836594577551	-0.925892038619324	0.612398253587811	0.364490119961843	True
all_pairs	TMM	source_adjusted	CLDN14	0.143401500747184	2.18395648582846	0.0220584015547159	0.883661635671528	0.978485898934184	0.992908893710298	-1.93057545300736	2.21737845450173	0.983779332157586	True
all_pairs	TMM	source_adjusted	CLDN15	-1.05747408734678	6.39530417662087	4.77822504533535	0.0428901249745099	0.473368358065711	0.34312099979608	-2.13911179905318	0.0241636243596124	0.513224604294319	True
all_pairs	TMM	source_adjusted	CLDN16	-0.0659397301728921	1.25846529940686	0.007936306701837	0.929952831369373	0.986831101544204	0.992908893710298	-1.66806993483874	1.53619047449296	0.765076699273092	True
all_pairs	TMM	source_adjusted	CLDN17	NA	NA	NA	NA	NA	NA	NA	NA	NA	False
all_pairs	TMM	source_adjusted	CLDN18	NA	NA	NA	NA	NA	NA	NA	NA	NA	False
all_pairs	TMM	source_adjusted	CLDN19	NA	NA	NA	NA	NA	NA	NA	NA	NA	False
